run_id,timestamp_utc,split,mode,experiment,priority,description,params,eval_part,n_eval,status,recall@5,recall@10,recall@20,recall@50,duration_sec
20260624T163054Z,2026-06-24T16:33:52.218345+00:00,fold_3,cv,bm25_chunk_line_8_4_top2,P0,Alternative line-window chunks with top-2 mean aggregation.,"{'config': {'k1': 1.5, 'b': 0.75}, 'chunk': {'unit': 'line', 'size': 8, 'overlap': 4}, 'aggregation': 'top2_mean', 'rank_depth': 120}",holdout,140,ok,0.45,0.5857142857142857,0.7428571428571429,0.85,12.183048
20260624T163054Z,2026-06-24T16:34:04.401619+00:00,fold_3,cv,rrf_bm25_doc_chunk,P0,RRF fusion of document BM25 and chunk BM25.,"{'members': ['bm25_doc', 'bm25_chunk_line_10_5_max'], 'rrf_k': 60, 'rank_depth': 100}",train,560,ok,0.41964285714285715,0.5410714285714285,0.6785714285714286,0.8178571428571428,0.157316
20260624T163054Z,2026-06-24T16:34:04.401619+00:00,fold_3,cv,rrf_bm25_doc_chunk,P0,RRF fusion of document BM25 and chunk BM25.,"{'members': ['bm25_doc', 'bm25_chunk_line_10_5_max'], 'rrf_k': 60, 'rank_depth': 100}",holdout,140,ok,0.45,0.5928571428571429,0.7285714285714285,0.8714285714285714,0.161233
20260624T163054Z,2026-06-24T16:34:04.563166+00:00,fold_3,cv,rrf_sparse_doc_chunk_char,P1,Sparse fusion: BM25 full-doc + BM25 chunks + char TF-IDF.,"{'members': ['bm25_doc', 'bm25_chunk_line_10_5_max', 'tfidf_char_doc_3_5'], 'rrf_k': 60, 'rank_depth': 100}",train,560,ok,0.4303571428571429,0.5732142857142857,0.7017857142857142,0.8321428571428572,0.205843
20260624T163054Z,2026-06-24T16:34:04.563166+00:00,fold_3,cv,rrf_sparse_doc_chunk_char,P1,Sparse fusion: BM25 full-doc + BM25 chunks + char TF-IDF.,"{'members': ['bm25_doc', 'bm25_chunk_line_10_5_max', 'tfidf_char_doc_3_5'], 'rrf_k': 60, 'rank_depth': 100}",holdout,140,ok,0.4785714285714286,0.65,0.7642857142857142,0.8857142857142857,0.210061
20260624T163054Z,2026-06-24T16:34:04.773476+00:00,fold_3,cv,rrf_sparse_doc_chunk_char_field,P1,Sparse fusion with an additional field-aware BM25 branch.,"{'members': ['bm25_doc', 'bm25_chunk_line_10_5_max', 'tfidf_char_doc_3_5', 'bm25_field_aware_doc'], 'rrf_k': 60, 'rank_depth': 100}",train,560,ok,0.4392857142857143,0.5803571428571429,0.6964285714285714,0.825,0.21653
20260624T163054Z,2026-06-24T16:34:04.773476+00:00,fold_3,cv,rrf_sparse_doc_chunk_char_field,P1,Sparse fusion with an additional field-aware BM25 branch.,"{'members': ['bm25_doc', 'bm25_chunk_line_10_5_max', 'tfidf_char_doc_3_5', 'bm25_field_aware_doc'], 'rrf_k': 60, 'rank_depth': 100}",holdout,140,ok,0.45714285714285713,0.65,0.75,0.8785714285714286,0.220501
20260624T163054Z,2026-06-24T16:34:05.025202+00:00,fold_4,cv,tfidf_word_doc,P0,Baseline-style word TF-IDF over full documents.,"{'config': {'analyzer': 'word', 'ngram_range': [1, 1]}}",train,560,ok,0.3535714285714286,0.475,0.6178571428571429,0.7857142857142857,4.356137
20260624T163054Z,2026-06-24T16:34:05.025202+00:00,fold_4,cv,tfidf_word_doc,P0,Baseline-style word TF-IDF over full documents.,"{'config': {'analyzer': 'word', 'ngram_range': [1, 1]}}",holdout,140,ok,0.3142857142857143,0.4785714285714286,0.6285714285714286,0.7642857142857142,4.360103
20260624T163054Z,2026-06-24T16:34:09.385707+00:00,fold_4,cv,tfidf_char_doc_3_5,P1,Character n-gram TF-IDF control for Russian morphology and typos.,"{'config': {'analyzer': 'char_wb', 'ngram_range': [3, 5], 'min_df': 1}}",train,560,ok,0.375,0.5339285714285714,0.6517857142857143,0.8178571428571428,8.282521
